ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000519.SZ,19941220,4.4114,4.6357,4.3815,4.5759,4.4189,0.15700000000000003,3.5529,7654.0,4642.396
000519.SZ,19941219,4.4488,4.6357,4.4114,4.4189,4.4488,-0.029900000000000482,-0.6721,15947.0,9705.369
000519.SZ,19941216,4.3366,4.7852,4.1497,4.4488,4.374,0.07480000000000064,1.7101,29141.0,17795.885
000519.SZ,19941215,3.7235,4.4039,3.7086,4.374,3.7011,0.6728999999999998,18.1811,15569.0,8423.94
000519.SZ,19941214,3.8132,3.8506,3.7011,3.7011,3.8431,-0.14200000000000035,-3.6949,4731.0,2377.799
000519.SZ,19941213,3.7086,3.888,3.7011,3.8431,3.7459,0.0972000000000004,2.5948,3275.0,1670.685
000519.SZ,19941212,3.8506,3.8506,3.7459,3.7459,3.903,-0.15710000000000024,-4.0251,1590.0,805.156
000519.SZ,19941209,3.9478,3.9852,3.888,3.903,4.0002,-0.0972000000000004,-2.4299,1604.0,842.116
000519.SZ,19941208,4.1497,4.1497,4.0002,4.0002,4.1273,-0.12709999999999955,-3.0795,627.0,340.387
000519.SZ,19941207,4.1273,4.1871,4.1048,4.1273,4.1646,-0.03730000000000011,-0.8956,763.0,423.363
000519.SZ,19941206,4.1497,4.1871,4.0974,4.1646,4.202,-0.03739999999999988,-0.8901,1185.0,654.527
000519.SZ,19941205,4.3142,4.3142,4.1871,4.202,4.3142,-0.11219999999999963,-2.6007,995.0,564.426
000519.SZ,19941202,4.3516,4.3815,4.2992,4.3142,4.3665,-0.05230000000000068,-1.1978,1026.0,594.668
000519.SZ,19941201,4.3441,4.389,4.3366,4.3665,4.3815,-0.01499999999999968,-0.3423,415.0,242.461
